# mean	std
6.709271240234375000e+02 1.638132568359375000e+03
6.634617309570312500e+02 1.703034545898437500e+03
6.552332763671875000e+02 1.768660888671875000e+03
6.485915527343750000e+02 1.840204711914062500e+03
6.437368164062500000e+02 1.916566894531250000e+03
6.409827880859375000e+02 1.996104003906250000e+03
6.445219116210937500e+02 2.086733398437500000e+03
6.530593261718750000e+02 2.182679199218750000e+03
6.695455322265625000e+02 2.290734130859375000e+03
6.926683959960937500e+02 2.407693359375000000e+03
7.226196899414062500e+02 2.534350341796875000e+03
7.591957397460937500e+02 2.671886718750000000e+03
7.993479003906250000e+02 2.814815673828125000e+03
8.437081909179687500e+02 2.967442871093750000e+03
8.883337402343750000e+02 3.120962402343750000e+03
9.359613647460937500e+02 3.282913574218750000e+03
9.837253417968750000e+02 3.445241699218750000e+03
1.035059570312500000e+03 3.616713623046875000e+03
1.087733154296875000e+03 3.790105468750000000e+03
1.145967895507812500e+03 3.975192138671875000e+03
1.207831298828125000e+03 4.165162109375000000e+03
1.277125122070312500e+03 4.369300292968750000e+03
1.350934204101562500e+03 4.580039550781250000e+03
1.945424926757812500e+03 8.111578369140625000e+02
1.865608764648437500e+03 7.433817138671875000e+02
1.740289306640625000e+03 6.606868896484375000e+02
1.615253784179687500e+03 5.859408569335937500e+02
1.502183837890625000e+03 5.237431640625000000e+02
1.394702026367187500e+03 4.708823242187500000e+02
1.289486328125000000e+03 4.233057556152343750e+02
1.186959594726562500e+03 3.822472534179687500e+02
1.085637573242187500e+03 3.483101806640625000e+02
9.896699218750000000e+02 3.257921142578125000e+02
9.040609741210937500e+02 3.164357910156250000e+02
8.377902221679687500e+02 3.208393554687500000e+02
7.937088623046875000e+02 3.336222839355468750e+02
7.709251708984375000e+02 3.514368591308593750e+02
7.634618530273437500e+02 3.712412109375000000e+02
7.638299560546875000e+02 3.905830078125000000e+02
7.666251831054687500e+02 4.084338378906250000e+02
7.689697265625000000e+02 4.250700988769531250e+02
7.672202758789062500e+02 4.396956787109375000e+02
7.610235595703125000e+02 4.531719360351562500e+02
7.523932495117187500e+02 4.657784423828125000e+02
7.435136108398437500e+02 4.769502563476562500e+02
7.357518310546875000e+02 4.866975097656250000e+02
7.290920410156250000e+02 4.943474121093750000e+02
7.237798461914062500e+02 4.994627990722656250e+02
7.199170532226562500e+02 5.034016113281250000e+02
7.165150146484375000e+02 5.062442626953125000e+02
7.131569213867187500e+02 5.084473876953125000e+02
7.101938476562500000e+02 5.112078247070312500e+02
7.078178100585937500e+02 5.153058471679687500e+02
7.059521484375000000e+02 5.208214111328125000e+02
7.046043090820312500e+02 5.276185302734375000e+02
7.036771850585937500e+02 5.352951049804687500e+02
7.032136840820312500e+02 5.435271606445312500e+02
7.031155395507812500e+02 5.519801025390625000e+02
7.031694335937500000e+02 5.604465942382812500e+02
7.032198486328125000e+02 5.691213989257812500e+02
7.032694091796875000e+02 5.782514648437500000e+02
7.032618408203125000e+02 5.880510864257812500e+02
7.034722290039062500e+02 5.987001342773437500e+02
7.044566650390625000e+02 6.105580444335937500e+02
7.067920532226562500e+02 6.243469238281250000e+02
7.108407592773437500e+02 6.405883789062500000e+02
7.164519653320312500e+02 6.594355468750000000e+02
7.234660034179687500e+02 6.806555175781250000e+02
7.317545776367187500e+02 7.037279663085937500e+02
7.412589721679687500e+02 7.287355346679687500e+02
7.518981933593750000e+02 7.559895629882812500e+02
7.633096923828125000e+02 7.852587280273437500e+02
7.749810791015625000e+02 8.158522949218750000e+02
7.872841186523437500e+02 8.483112792968750000e+02
8.006009521484375000e+02 8.831819458007812500e+02
8.146553344726562500e+02 9.195364379882812500e+02
8.296383666992187500e+02 9.578070068359375000e+02
8.456589355468750000e+02 9.983244018554687500e+02
8.623828125000000000e+02 1.040033691406250000e+03
8.801665649414062500e+02 1.083864013671875000e+03
8.989205322265625000e+02 1.129500732421875000e+03
9.184805908203125000e+02 1.176636962890625000e+03
9.392064819335937500e+02 1.226481445312500000e+03
9.606182250976562500e+02 1.277971557617187500e+03
9.830687866210937500e+02 1.332167968750000000e+03
1.006314880371093750e+03 1.388530761718750000e+03
1.030367553710937500e+03 1.447152099609375000e+03
1.055188232421875000e+03 1.508037475585937500e+03
1.080418090820312500e+03 1.570347290039062500e+03
1.106354248046875000e+03 1.634953247070312500e+03
1.132479248046875000e+03 1.700407836914062500e+03
1.159396484375000000e+03 1.768229492187500000e+03
1.186599853515625000e+03 1.836998657226562500e+03
1.214586181640625000e+03 1.908340454101562500e+03
1.243017089843750000e+03 1.980967407226562500e+03
1.272281982421875000e+03 2.056548828125000000e+03
1.302096435546875000e+03 2.133904052734375000e+03
1.332837036132812500e+03 2.214763916015625000e+03
1.364062500000000000e+03 2.297687744140625000e+03
